DEBUG:    Initializing...
DEBUG:    Getting video modes...
DEBUG:    Creating window with resolution of 1366x768...
DEBUG:    Loading images...
DEBUG:    Initializing Status_Menu...
DEBUG:    Starting window render loop...
DEBUG:    Starting window event loop...
INFO:     Initialization Finished
DEBUG:    Set FPS to 30
DEBUG:    1717.000000  1418.000000
WARNING:  Render update is behind -36979 microseconds! Current FPS: 14
DEBUG:    2751.000000  1428.000000
WARNING:  Render update is behind -9509 microseconds! Current FPS: 23
DEBUG:    2761.000000  1438.000000
DEBUG:    2771.000000  1448.000000
DEBUG:    2781.000000  1458.000000
DEBUG:    2791.000000  1468.000000
DEBUG:    2801.000000  1478.000000
DEBUG:    2811.000000  1488.000000
DEBUG:    2821.000000  1498.000000
DEBUG:    2831.000000  1508.000000
DEBUG:    2841.000000  1518.000000
DEBUG:    2851.000000  1528.000000
DEBUG:    2861.000000  1538.000000
DEBUG:    2871.000000  1548.000000
DEBUG:    2881.000000  1558.000000
DEBUG:    2891.000000  1568.000000
DEBUG:    2901.000000  1578.000000
DEBUG:    2911.000000  1588.000000
DEBUG:    2921.000000  1598.000000
DEBUG:    2931.000000  1608.000000
DEBUG:    2941.000000  1618.000000
DEBUG:    2951.000000  1628.000000
DEBUG:    2961.000000  1638.000000
DEBUG:    2971.000000  1648.000000
DEBUG:    2981.000000  1658.000000
DEBUG:    2991.000000  1668.000000
DEBUG:    3001.000000  1678.000000
DEBUG:    3011.000000  1688.000000
DEBUG:    3021.000000  1698.000000
DEBUG:    3031.000000  1708.000000
DEBUG:    3041.000000  1718.000000
DEBUG:    3051.000000  1728.000000
DEBUG:    3061.000000  1738.000000
DEBUG:    3071.000000  1748.000000
DEBUG:    3081.000000  1758.000000
DEBUG:    3091.000000  1768.000000
DEBUG:    3101.000000  1778.000000
DEBUG:    3111.000000  1788.000000
DEBUG:    3121.000000  1798.000000
DEBUG:    3131.000000  1808.000000
DEBUG:    3141.000000  1818.000000
WARNING:  Render update is behind -1827 microseconds! Current FPS: 28
DEBUG:    3151.000000  1828.000000
DEBUG:    3161.000000  1838.000000
DEBUG:    3171.000000  1848.000000
DEBUG:    3181.000000  1858.000000
DEBUG:    3191.000000  1868.000000
DEBUG:    3201.000000  1878.000000
DEBUG:    3211.000000  1888.000000
DEBUG:    3221.000000  1898.000000
DEBUG:    3231.000000  1908.000000
DEBUG:    3241.000000  1918.000000
DEBUG:    3251.000000  4294968320.000000
DEBUG:    3261.000000  8589934592.000000
DEBUG:    3271.000000  12884900864.000000
DEBUG:    3281.000000  17179867136.000000
DEBUG:    3291.000000  21474832384.000000
DEBUG:    3301.000000  25769799680.000000
DEBUG:    3311.000000  30064766976.000000
DEBUG:    3321.000000  34359734272.000000
DEBUG:    3331.000000  38654701568.000000
DEBUG:    3341.000000  42949668864.000000
DEBUG:    3351.000000  47244636160.000000
DEBUG:    3361.000000  51539603456.000000
DEBUG:    3371.000000  55834570752.000000
DEBUG:    3381.000000  60129538048.000000
DEBUG:    3391.000000  64424505344.000000
DEBUG:    3401.000000  68719472640.000000
DEBUG:    3411.000000  73014435840.000000
DEBUG:    4294969856.000000  77309403136.000000
DEBUG:    8589936640.000000  81604370432.000000
DEBUG:    12884902912.000000  85899337728.000000
DEBUG:    17179869184.000000  90194305024.000000
INFO:     Cleaning up...
